frame_index,time_index,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,q6_deg,x_mm,y_mm,z_mm,phi_rad,theta_rad,psi_rad,target_x_mm,target_y_mm,target_z_mm,target_phi_rad,target_theta_rad,target_psi_rad,collision,min_clearance_mm
64,0.5378151260504201,-62.71594914064561,9.013752529505794,-103.1104706290956,-0.07223189607099924,56.75161857412853,-30.081543660975985,24.244352251504143,-47.19326911914119,1141.622799370494,1.283470771533365,-0.7586822445757055,0.5811123371050132,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,99.99658943856465
65,0.5462184873949579,-63.6958858459682,9.154592412779321,-104.72157173267522,-0.0733605194471086,57.63836261434928,-30.551567780678734,19.64538546725101,-39.94236234535657,1140.3157318647402,1.263564991484122,-0.7468574158841221,0.577858039738679,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,98.93545311501182
66,0.5546218487394958,-64.67582255129079,9.295432296052851,-106.33267283625486,-0.07448914282321797,58.52510665457005,-31.021591900381488,15.320977537767664,-32.5889739303982,1138.7740069467238,1.2436065906919866,-0.7350757062981024,0.5745431775068016,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,97.88539355357756
67,0.5630252100840336,-65.65575925661338,9.436272179326378,-107.94377393983447,-0.07561776619932734,59.41185069479081,-31.491616020084237,11.274997636837014,-25.14603260847838,1136.9989137255252,1.2235951659445905,-0.7233380089966163,0.5711672997219435,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,96.84777126705379
68,0.5714285714285714,-66.63569596193597,9.577112062599907,-109.55487504341409,-0.0767463895754367,60.29859473501156,-31.961640139786983,7.510749477450165,-17.62660374234362,1134.9918906713708,1.2035303103944648,-0.7116452281556231,0.5677299510124193,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,95.82398257010573
69,0.5798319327731093,-67.61563266725855,9.717951945873434,-111.1659761469937,-0.07787501295154606,61.18533877523232,-32.43166425948973,4.030966276262539,-10.043864689198102,1132.7545246315995,1.1834116137895667,-0.6999982791273439,0.5642306715359667,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,94.81545904321013
70,0.5882352941176471,-68.59556937258115,9.858791829146963,-112.77707725057333,-0.07900363632765543,62.072082815453086,-32.901688379192485,0.8378067813418575,-2.411079982425818,1130.2885497492425,1.1632386627172477,-0.688398088617228,0.5606689972064185,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,93.82366676826499
71,0.5966386554621849,-69.57550607790373,9.999631712420491,-114.38817835415294,-0.0801322597037648,62.95882685567384,-33.371712498895235,-2.0671476301104157,5.258423625148524,1127.595846284944,1.1430110408622025,-0.6768455948583133,0.5570444599339256,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,92.85010531243398
72,0.6050420168067226,-70.55544278322631,10.140471595694018,-115.99927945773256,-0.08126088307987415,63.845570895894596,-33.841736618597984,-4.6828947793503595,12.951282210493908,1124.6784393429891,1.12272832927896,-0.6653417477826474,0.5533565878792716,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,91.89630643640305
73,0.6134453781512605,-71.5353794885489,10.281311478967545,-117.61038056131217,-0.0823895064559835,64.73231493611534,-34.311760738300734,-7.0090124362491615,20.654119775975424,1121.5384975022916,1.1023901066794901,-0.6538875091894314,0.5496049057228469,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,90.96383250319798
74,0.6218487394957983,-72.5153161938715,10.422151362241076,-119.2214816648918,-0.08351812983209288,65.61905897633612,-34.78178485800348,-9.045657991248746,28.353573345133597,1118.178331353242,1.0819959497364986,-0.6424838529095152,0.5457889349488407,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,90.0542745641136
75,0.6302521008403361,-73.49525289919409,10.562991245514603,-120.83258276847141,-0.08464675320820224,66.50580301655687,-35.25180897770623,-10.793567050321748,36.0363180124612,1114.600391941384,1.061545433403,-0.631131764965868,0.5419081941452344,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,89.16925009922122
76,0.6386554621848739,-74.47518960451667,10.70383112878813,-122.44368387205103,-0.0857753765843116,67.39254705677763,-35.72183309740898,-12.254050956118299,43.689091901104234,1110.8072691189473,1.0410381312487578,-0.6198322437296087,0.5379621993201743,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,88.31040039142496
77,0.6470588235294118,-75.45512630983924,10.844671012061658,-124.05478497563064,-0.08690399996042096,68.27929109699838,-36.19185721711173,-13.428993240446983,51.29872098258919,1106.8016898053277,1.0204736158141983,-0.6085863000711816,0.5339504642353105,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,87.47938751519769
78,0.6554621848739496,-76.43506301516184,10.985510895335187,-125.66588607921028,-0.08803262333653034,69.16603513721915,-36.66188133681448,-14.320845015197845,58.85214371295736,1102.586516157659,0.9998514589823899,-0.5973949575062225,0.5298725007566991,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,86.67789092403659
79,0.6638655462184874,-77.41499972048443,11.126350778608716,-127.2769871827899,-0.0891612467126397,70.0527791774399,-37.13190545651723,-14.93261931075763,66.3364354400299,1098.1647436526923,0.9791712323697108,-0.5862592523356444,0.5257278192238529,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,85.90760362436451
80,0.6722689075630253,-78.39493642580702,11.267190661882243,-128.8880882863695,-0.09028987008874906,70.93952321766066,-37.60192957621998,-15.267884372895674,73.73883253696644,1093.5394990812401,0.9584325077357934,-0.5751802337794627,0.5215159288375506,100.0,200.0,800.0,0.10000000149011612,-0.20000000298023224,0.30000001192092896,0,85.17022792814642
