subspace_id,branch_label,branch_name,x_mm,y_mm,z_mm
18,0,shoulder_negative|elbow_low|wrist_negative,-131.0447235107422,693.741455078125,622.4302368164062
18,0,shoulder_negative|elbow_low|wrist_negative,-275.8730163574219,257.34222412109375,999.8360595703125
18,0,shoulder_negative|elbow_low|wrist_negative,203.92822265625,658.3274536132812,483.557373046875
18,0,shoulder_negative|elbow_low|wrist_negative,-63.955352783203125,209.16493225097656,1006.5315551757812
19,0,shoulder_negative|elbow_low|wrist_negative,448.6170959472656,193.6136474609375,348.50140380859375
19,0,shoulder_negative|elbow_low|wrist_negative,220.9407196044922,245.54664611816406,945.9783325195312
19,0,shoulder_negative|elbow_low|wrist_negative,51.46763229370117,-83.10789489746094,1051.7431640625
19,0,shoulder_negative|elbow_low|wrist_negative,104.13519287109375,448.5384826660156,792.3137817382812
19,0,shoulder_negative|elbow_low|wrist_negative,-352.0878601074219,35.609375,737.1499633789062
19,0,shoulder_negative|elbow_low|wrist_negative,-202.76397705078125,228.8244171142578,986.6324462890625
19,0,shoulder_negative|elbow_low|wrist_negative,-532.8250732421875,7.369846343994141,711.0675659179688
19,0,shoulder_negative|elbow_low|wrist_negative,137.36279296875,-251.7047576904297,1025.9412841796875
19,0,shoulder_negative|elbow_low|wrist_negative,365.79278564453125,633.2426147460938,595.755615234375
19,0,shoulder_negative|elbow_low|wrist_negative,-127.75858306884766,289.87042236328125,865.1017456054688
19,0,shoulder_negative|elbow_low|wrist_negative,-454.6473083496094,569.882080078125,521.2470092773438
19,0,shoulder_negative|elbow_low|wrist_negative,-305.88128662109375,25.588550567626953,962.5354614257812
19,0,shoulder_negative|elbow_low|wrist_negative,174.54324340820312,669.751708984375,384.494873046875
19,0,shoulder_negative|elbow_low|wrist_negative,179.88621520996094,312.2744445800781,662.0010375976562
19,0,shoulder_negative|elbow_low|wrist_negative,608.3941650390625,259.37115478515625,384.5844421386719
19,0,shoulder_negative|elbow_low|wrist_negative,138.2044677734375,273.39605712890625,974.1406860351562
19,0,shoulder_negative|elbow_low|wrist_negative,159.42544555664062,322.9197082519531,71.18701934814453
19,0,shoulder_negative|elbow_low|wrist_negative,-294.00628662109375,251.16061401367188,78.27919006347656
19,0,shoulder_negative|elbow_low|wrist_negative,341.05718994140625,154.33245849609375,864.5578002929688
19,0,shoulder_negative|elbow_low|wrist_negative,-269.49420166015625,312.5626220703125,629.8574829101562
19,0,shoulder_negative|elbow_low|wrist_negative,155.01065063476562,437.1839294433594,918.7625122070312
19,0,shoulder_negative|elbow_low|wrist_negative,-155.46534729003906,234.74703979492188,102.26103973388672
19,0,shoulder_negative|elbow_low|wrist_negative,419.5638732910156,445.5440673828125,209.07460021972656
19,0,shoulder_negative|elbow_low|wrist_negative,-234.16415405273438,266.3791198730469,730.1065063476562
19,0,shoulder_negative|elbow_low|wrist_negative,217.3019561767578,-15.58785629272461,1032.49658203125
19,0,shoulder_negative|elbow_low|wrist_negative,-580.363525390625,113.48941040039062,344.49761962890625
